category,word,weight,,,
temporal,minute,1.0,,,
temporal,leave,1.0,,,
temporal,date,1.0,,,
temporal,clock,1.0,,,
temporal,hours,1.0,,,
temporal,week,1.0,,,
temporal,rumbling,1.0,,,
temporal,next,1.0,,,
temporal,schedule,1.0,,,
temporal,months,1.0,,,
temporal,month,1.0,,,
temporal,immediately,1.0,,,
temporal,heading,1.0,,,
temporal,waited,1.0,,,
temporal,weeks,1.0,,,
temporal,weekend,1.0,,,
temporal,arrive,1.0,,,
temporal,seconds,1.0,,,
temporal,starting,1.0,,,
temporal,destination,1.0,,,
temporal,hour,1.0,,,
temporal,minutes,1.0,,,
temporal,twice,1.0,,,
temporal,parking,1.0,,,
temporal,trip,1.0,,,
temporal,halfway,1.0,,,
temporal,nights,1.0,,,
temporal,pm,1.0,,,
temporal,promptly,1.0,,,
abstract,natural,1.0,,,
abstract,roots,1.0,,,
abstract,delicate,1.0,,,
abstract,exaggerated,1.0,,,
abstract,diverse,1.0,,,
abstract,gentle,1.0,,,
abstract,stronger,1.0,,,
abstract,atmosphere,1.0,,,
abstract,flesh,1.0,,,
abstract,soothing,1.0,,,
abstract,qualities,1.0,,,
abstract,muscular,1.0,,,
abstract,distorted,1.0,,,
abstract,describe,1.0,,,
abstract,strong,1.0,,,
abstract,powerful,1.0,,,
abstract,artificial,1.0,,,
abstract,deeper,1.0,,,
abstract,ecology,1.0,,,
abstract,stem,1.0,,,
abstract,pure,1.0,,,
abstract,sound,1.0,,,
abstract,spreading,1.0,,,
abstract,deep,1.0,,,
abstract,particularly,1.0,,,
abstract,intricate,1.0,,,
abstract,subtle,1.0,,,
abstract,masses,1.0,,,
abstract,expressive,1.0,,,
abstract,weak,1.0,,,
abstract,focus,1.0,,,
abstract,environment,1.0,,,
abstract,influenced,1.0,,,
abstract,hip,1.0,,,
abstract,creating,1.0,,,
abstract,intense,1.0,,,
abstract,sensation,1.0,,,
abstract,folk,1.0,,,
abstract,surroundings,1.0,,,
professional,meetings,1.0,,,
professional,owner,1.0,,,
professional,worker,1.0,,,
professional,office,1.0,,,
professional,rented,1.0,,,
professional,year,1.0,,,
professional,business,1.0,,,
professional,meet,1.0,,,
professional,home,1.0,,,
professional,decided,1.0,,,
professional,visit,1.0,,,
professional,staying,1.0,,,
professional,paid,1.0,,,
professional,bank,1.0,,,
professional,students,1.0,,,
professional,house,1.0,,,
professional,members,1.0,,,
professional,visiting,1.0,,,
professional,meeting,1.0,,,
professional,private,1.0,,,
professional,staff,1.0,,,
professional,school,1.0,,,
professional,estate,1.0,,,
professional,classroom,1.0,,,
professional,college,1.0,,,
professional,apartment,1.0,,,
professional,hotel,1.0,,,
professional,attend,1.0,,,
visual,yellow,1.0,,,
visual,fur,1.0,,,
visual,silver,1.0,,,
visual,badge,1.0,,,
visual,garment,1.0,,,
visual,large,1.0,,,
visual,gold,1.0,,,
visual,suit,1.0,,,
visual,steel,1.0,,,
visual,colour,1.0,,,
visual,variety,1.0,,,
visual,brown,1.0,,,
visual,uniform,1.0,,,
visual,cap,1.0,,,
visual,clothing,1.0,,,
visual,leather,1.0,,,
visual,breeches,1.0,,,
visual,coloured,1.0,,,
visual,colored,1.0,,,
visual,skull,1.0,,,
visual,cotton,1.0,,,
visual,wig,1.0,,,
visual,bone,1.0,,,
visual,wears,1.0,,,
visual,fielder,1.0,,,
visual,ribbons,1.0,,,
visual,skin,1.0,,,
visual,green,1.0,,,
visual,stockings,1.0,,,
visual,black,1.0,,,
visual,seal,1.0,,,
visual,breast,1.0,,,
visual,glove,1.0,,,
visual,stripes,1.0,,,
visual,striped,1.0,,,
visual,feathers,1.0,,,
visual,jackets,1.0,,,
visual,colors,1.0,,,
visual,shafts,1.0,,,
visual,white,1.0,,,
visual,wide,1.0,,,
visual,medium,1.0,,,
visual,color,1.0,,,
visual,style,1.0,,,
visual,blazer,1.0,,,
visual,shaped,1.0,,,
visual,cloth,1.0,,,
visual,tan,1.0,,,
violent,lethal,1.0,,,
violent,instantly,1.0,,,
violent,breath,1.0,,,
violent,kill,1.0,,,
violent,bat,1.0,,,
violent,painful,1.0,,,
violent,pause,1.0,,,
violent,repeat,1.0,,,
violent,tongue,1.0,,,
violent,stab,1.0,,,
violent,trigger,1.0,,,
violent,sentence,1.0,,,
violent,breathe,1.0,,,
violent,die,1.0,,,
violent,accidentally,1.0,,,
violent,poison,1.0,,,
violent,accidental,1.0,,,
violent,swallow,1.0,,,
violent,explode,1.0,,,
violent,bullet,1.0,,,
violent,reaction,1.0,,,
violent,kills,1.0,,,
violent,hit,1.0,,,
violent,swallowed,1.0,,,
violent,repeatedly,1.0,,,
violent,loses,1.0,,,
tactile,fingers,1.0,,,
tactile,blade,1.0,,,
tactile,metallic,1.0,,,
tactile,fog,1.0,,,
tactile,melt,1.0,,,
tactile,slow,1.0,,,
tactile,vertical,1.0,,,
tactile,dome,1.0,,,
tactile,edges,1.0,,,
tactile,waves,1.0,,,
tactile,drifting,1.0,,,
tactile,absorb,1.0,,,
tactile,barrel,1.0,,,
tactile,inches,1.0,,,
tactile,flowing,1.0,,,
tactile,thin,1.0,,,
tactile,swirling,1.0,,,
tactile,smooth,1.0,,,
tactile,pinch,1.0,,,
tactile,diameter,1.0,,,
tactile,tops,1.0,,,
tactile,sliding,1.0,,,
tactile,thick,1.0,,,
tactile,gravity,1.0,,,
tactile,breeze,1.0,,,
tactile,depth,1.0,,,
tactile,drops,1.0,,,
tactile,lightly,1.0,,,
tactile,blades,1.0,,,
tactile,hits,1.0,,,
tactile,slowly,1.0,,,
tactile,surface,1.0,,,
tactile,thinner,1.0,,,
tactile,sheets,1.0,,,
tactile,heavier,1.0,,,
tactile,portable,1.0,,,
tactile,pressing,1.0,,,
tactile,needle,1.0,,,
tactile,solid,1.0,,,
tactile,cut,1.0,,,
tactile,thicker,1.0,,,
tactile,soft,1.0,,,
tactile,slight,1.0,,,
tactile,finger,1.0,,,
tactile,melting,1.0,,,
tactile,meters,1.0,,,
tactile,cloudy,1.0,,,
tactile,slowed,1.0,,,
tactile,lighter,1.0,,,
tactile,flow,1.0,,,
tactile,faster,1.0,,,
tactile,layers,1.0,,,
tactile,screens,1.0,,,
tactile,lighting,1.0,,,
tactile,inch,1.0,,,
tactile,clouds,1.0,,,
tactile,slower,1.0,,,
tactile,reach,1.0,,,
tactile,shapes,1.0,,,
tactile,stream,1.0,,,
tactile,layer,1.0,,,
tactile,upwards,1.0,,,
communal,schools,1.0,,,
communal,male,1.0,,,
communal,community,1.0,,,
communal,church,1.0,,,
communal,young,1.0,,,
communal,society,1.0,,,
communal,interests,1.0,,,
communal,bred,1.0,,,
communal,banker,1.0,,,
communal,family,1.0,,,
communal,respected,1.0,,,
communal,american,1.0,,,
communal,culture,1.0,,,
communal,catholic,1.0,,,
communal,adopted,1.0,,,
communal,whose,1.0,,,
communal,teaching,1.0,,,
communal,african,1.0,,,
communal,among,1.0,,,
communal,educated,1.0,,,
communal,founded,1.0,,,
communal,children,1.0,,,
communal,public,1.0,,,
communal,youth,1.0,,,
communal,politician,1.0,,,
communal,protect,1.0,,,
communal,reputation,1.0,,,
communal,sons,1.0,,,
communal,wealthy,1.0,,,
mental,asleep,1.0,,,
mental,knew,1.0,,,
mental,memories,1.0,,,
mental,overwhelmed,1.0,,,
mental,awake,1.0,,,
mental,anxious,1.0,,,
mental,uneasy,1.0,,,
mental,studying,1.0,,,
mental,moments,1.0,,,
mental,hadn't,1.0,,,
mental,learning,1.0,,,
mental,sadness,1.0,,,
mental,talked,1.0,,,
mental,experiences,1.0,,,
mental,sounded,1.0,,,
mental,confess,1.0,,,
mental,senses,1.0,,,
mental,calm,1.0,,,
mental,fascinating,1.0,,,
mental,thoughts,1.0,,,
mental,answered,1.0,,,
mental,emptiness,1.0,,,
mental,reading,1.0,,,
mental,wake,1.0,,,
mental,dreaming,1.0,,,
mental,listening,1.0,,,
mental,tense,1.0,,,
mental,hearing,1.0,,,
mental,experience,1.0,,,
mental,awe,1.0,,,
mental,reply,1.0,,,
mental,exploring,1.0,,,
mental,replies,1.0,,,
mental,quiet,1.0,,,
mental,solitude,1.0,,,
mental,comforting,1.0,,,
mental,wished,1.0,,,
mental,explore,1.0,,,
mental,happened,1.0,,,
mental,realised,1.0,,,
mental,discuss,1.0,,,
numeric,four,1.0,,,
numeric,quarter,1.0,,,
numeric,pairs,1.0,,,
numeric,set,1.0,,,
numeric,pound,1.0,,,
numeric,pair,1.0,,,
numeric,five,1.0,,,
numeric,maximum,1.0,,,
numeric,extra,1.0,,,
numeric,half,1.0,,,
numeric,drop,1.0,,,
numeric,card,1.0,,,
numeric,pounds,1.0,,,
numeric,cent,1.0,,,
numeric,overhead,1.0,,,
numeric,deck,1.0,,,
numeric,floors,1.0,,,
numeric,three,1.0,,,
numeric,two,1.0,,,
numeric,per,1.0,,,
numeric,stock,1.0,,,
numeric,each,1.0,,,
numeric,top,1.0,,,
numeric,tie,1.0,,,
numeric,shillings,1.0,,,
numeric,purse,1.0,,,
numeric,ten,1.0,,,
numeric,twenty,1.0,,,
numeric,double,1.0,,,
numeric,sold,1.0,,,
numeric,intervals,1.0,,,
numeric,tables,1.0,,,
numeric,smaller,1.0,,,
numeric,six,1.0,,,
emotional,alive,1.0,,,
emotional,nature,1.0,,,
emotional,innocent,1.0,,,
emotional,despised,1.0,,,
emotional,disgrace,1.0,,,
emotional,religion,1.0,,,
emotional,spiritual,1.0,,,
emotional,believes,1.0,,,
emotional,troubled,1.0,,,
emotional,emotion,1.0,,,
emotional,illness,1.0,,,
emotional,influence,1.0,,,
emotional,truth,1.0,,,
emotional,tortured,1.0,,,
emotional,compassion,1.0,,,
emotional,fear,1.0,,,
emotional,deeply,1.0,,,
emotional,speak,1.0,,,
emotional,perceived,1.0,,,
emotional,anger,1.0,,,
emotional,embrace,1.0,,,
emotional,religious,1.0,,,
emotional,emotions,1.0,,,
emotional,weakness,1.0,,,
emotional,human,1.0,,,
emotional,feelings,1.0,,,
emotional,harsh,1.0,,,
emotional,vile,1.0,,,
emotional,profoundly,1.0,,,
emotional,openly,1.0,,,
emotional,remark,1.0,,,
emotional,profound,1.0,,,
emotional,evil,1.0,,,
emotional,admiration,1.0,,,
emotional,believing,1.0,,,
emotional,peaceful,1.0,,,
emotional,christian,1.0,,,
emotional,convinced,1.0,,,
emotional,hatred,1.0,,,
emotional,man's,1.0,,,
emotional,cruel,1.0,,,
emotional,fearful,1.0,,,
emotional,betrayed,1.0,,,
social,child,1.0,,,
social,son,1.0,,,
social,situation,1.0,,,
social,pleaded,1.0,,,
social,marriage,1.0,,,
social,parents,1.0,,,
social,arrest,1.0,,,
social,daughter,1.0,,,
social,victim,1.0,,,
social,husband,1.0,,,
social,informed,1.0,,,
social,charges,1.0,,,
social,charged,1.0,,,
social,suicide,1.0,,,
social,relatives,1.0,,,
social,sheriff,1.0,,,
social,widow,1.0,,,
social,accused,1.0,,,
social,met,1.0,,,
social,arrested,1.0,,,
social,confronted,1.0,,,
social,eldest,1.0,,,
social,father,1.0,,,
social,custody,1.0,,,
social,robbery,1.0,,,
social,pregnant,1.0,,,
social,murder,1.0,,,
social,mother,1.0,,,
social,guilty,1.0,,,
social,confessed,1.0,,,
social,calls,1.0,,,
social,wife,1.0,,,
social,court,1.0,,,
social,whom,1.0,,,
social,stolen,1.0,,,
social,refused,1.0,,,
social,married,1.0,,,
social,murderer,1.0,,,
social,murdered,1.0,,,
social,convicted,1.0,,,
locational,stadium,1.0,,,
locational,visitors,1.0,,,
locational,halls,1.0,,,
locational,company,1.0,,,
locational,shops,1.0,,,
locational,golf,1.0,,,
locational,scenery,1.0,,,
locational,architecture,1.0,,,
locational,rooms,1.0,,,
locational,gardens,1.0,,,
locational,athletic,1.0,,,
locational,lounge,1.0,,,
locational,spacious,1.0,,,
locational,space,1.0,,,
locational,evenings,1.0,,,
locational,building,1.0,,,
locational,houses,1.0,,,
locational,art,1.0,,,
locational,landscape,1.0,,,
locational,fields,1.0,,,
locational,sporting,1.0,,,
locational,shopping,1.0,,,
locational,arts,1.0,,,
locational,purchased,1.0,,,
locational,annual,1.0,,,
locational,national,1.0,,,
locational,center,1.0,,,
locational,stores,1.0,,,
locational,pools,1.0,,,
locational,campus,1.0,,,
locational,facilities,1.0,,,
locational,sports,1.0,,,
locational,activities,1.0,,,
locational,design,1.0,,,
locational,uniforms,1.0,,,
locational,clubhouse,1.0,,,
locational,teams,1.0,,,
locational,local,1.0,,,